Sample_No,Sample_ID,Country,Region,Treatment,Plot_ID,Lat,Long,Year,Month,Day,Crop in 2017,Aboveground_biomass,Grain_biomass,Phytometer shoots,Phytometer roots,Total,Sand,Silt,Clay,CEC,MWD,C_tot_%,C_tot_mg,N_tot_%,N_tot_mg,P_tot_mg,P_Olsen,pH,Humus_%,Organic_C_%,CaCO3_%,C_microbial,N_microbial,P_resin,P_microbial,basal_respiration,C_org_mg,mean BD (g/cm3),mean ad (g/cm3),moisture
54,FR21,France,Epoisses,High,B6a,47.243276,5.100211,,,,,,,1.6,0.57,2.17,11.1,55.5,32,22.37,,3.83,38300,0.1,1000,786.49,68.55,6.81,1.38,0.8,0.2,140.633,13.623,37.44794809,3.825485961,0.260069444,8000,1.20186957,1.255891656,0.088552916
55,FR22,France,Epoisses,High,D5,47.240649,5.09639,,,,,,,1.74,1.75,3.49,11.2,42.8,43.4,38.86,,3.1,31000,0.178,1780,698.21,40.97,7.52,2.6,1.51,0.3,288.524,23.587,15.31289378,3.102582236,0.515729167,15100,1.116585537,1.107312595,0.10840708
56,FR23,France,Epoisses,High,H6,47.235864,5.103856,,,,,,,2.07,1.4,3.47,11.5,43.2,42.8,35.64,,,,0.189,1890,1739.87,149.15,7.2,2.54,1.47,2.2,260.164,21.068,97.99125065,18.24740289,0.358,14700,1.104750042,1.087124147,0.110882957
57,FR24,France,Epoisses,High,G10,47.232725,5.111105,,,,,,,2.25,1.09,3.34,10.9,41,45.1,36.58,,4,40000,0.216,2160,968.72,59.66,7.91,2.98,1.73,1.9,413.212,35.292,19.02172944,3.999825175,0.773472222,17300,1.107717325,1.082481098,0.138636364
58,FR25,France,Epoisses,Grassland,C +,47.233079,5.106059,,,,,,,2.49,1.15,3.64,8.3,43.8,44.2,37.85,,13.48,134800,0.246,2460,898.98,58.92,7.09,3.75,2.18,0.4,633.159,73.739,35.80062351,13.48344344,1.05125,21800,1.318409021,1.318409021,0.150900901
59,FR26,France,Epoisses,Grassland,C +,47.232674,5.111348,,,,,,,1.53,0.62,2.15,13.9,39.4,40.8,39.68,,50.24,502400,0.352,3520,1181.7,90.69,7.31,5.87,3.4,6.3,1327.031,138.917,32.83179517,50.24112863,2.833333333,34000,1.270283949,1.173636222,0.187648456
60,FR27,France,Fromenteau,High,SC1,47.38979,4.774691,,,,,,,3.27,1.36,4.63,7.2,36.3,51.6,37.66,,6.34,63400,0.332,3320,1213.3,39.7,7.33,4.87,2.82,2.6,612.671,78.662,12.04402583,6.342428008,1.302152778,28200,1.036439622,0.962548085,0.134529148
61,FR28,France,Fromenteau,Low,SC2,47.389958,4.774793,,,,,,,2.85,0.59,3.44,7.2,37.7,50.4,37.55,,5.57,55700,0.329,3290,1162.98,45.91,7.41,4.73,2.74,3.1,578.896,46.448,21.40540732,5.565559011,1.178888889,27400,1.308575569,1.223072987,0.118568233
62,FR29,France,Fromenteau,High,SC3,47.390044,4.774831,,,,,,,2.42,1.96,4.38,7.3,40,48.2,37.04,,11.44,114400,0.332,3320,1122.36,42.35,7.69,4.52,2.62,2.2,558.137,45.722,3.514358464,11.44034303,1.2878125,26200,1.170485905,1.118562129,0.125279642
63,FR30,France,Fromenteau,High,SC4,47.39015,4.774936,,,,,,,2.9,1.54,4.44,4.9,39.7,51,37.17,,6.64,66400,0.318,3180,1047.46,42.57,7.53,4.42,2.56,1,559.732,43.571,16.00930205,6.635368232,0.944166667,25600,1.178210577,1.096041198,0.117256637
64,FR31,France,Fromenteau,Low,SC5,47.390289,4.775035,,,,,,,2.79,1.68,4.47,6.5,38.8,50.3,43.62,,2.69,26900,0.317,3170,1107.34,41.51,7.55,4.38,2.54,1.1,563.81,45.115,16.13148539,2.686893445,0.86625,25400,1.219045102,1.167893178,0.116740088
65,FR32,France,Fromenteau,High,SC6,47.390386,4.775062,,,,,,,2.82,2,4.82,2.5,38.4,54.9,39.12,,5.62,56200,0.314,3140,1081.97,42.19,7.73,4.23,2.45,1.2,587.185,47.959,15.05929772,5.624927063,1.01125,24500,1.145557416,1.076550197,0.164079823
66,FR33,France,Fromenteau,High,SC7,47.390526,4.775187,,,,,,,2.18,1.76,3.94,13.6,35.3,46.2,37.68,,10.9,109000,0.353,3530,1080.58,33.97,7.5,4.87,2.82,1.4,594.112,43.872,10.83878474,10.89538704,1.147708333,28200,1.103180394,1.010184528,0.118834081
67,FR34,France,Fromenteau,High,SC8,47.390616,4.77522,,,,,,,2.85,2.16,5.01,14.3,36.4,44.2,38.04,,9.52,95200,0.348,3480,1084.13,39.66,7.49,5.07,2.94,1,600.663,45.425,13.61164389,9.520762423,1.460104167,29400,1.149717563,1.093422178,0.115044248
68,FR35,France,Fromenteau,Grassland,C +,47.389603,4.774764,,,,,,,1.83,0.94,2.77,14.7,35.3,45.6,38.04,,6.15,61500,0.326,3260,1127.97,36.74,7.49,4.42,2.56,5.4,659.62,49.306,7.8197487,6.148405087,1.675104167,25600,1.268856703,1.236169047,0.149425287
69,FR36,France,Boigneville,High,1310,48.326813,2.382192,,,,,,,2.31,1.02,3.33,16,61.2,21.4,16.4,,21.9,219000,0.112,1120,500.54,35.27,6.55,1.36,0.79,0.2,258.095,28.818,10.59665546,21.90314426,0.246805556,7900,1.191540614,1.191540614,0.160550459
70,FR37,France,Boigneville,Low,xxx,48.327091,2.380599,,,,,,,1.32,0.69,2.01,15.3,63.1,19.8,15.09,,5.69,56900,0.136,1360,580.1,56.05,5.9,1.85,1.07,0.2,233.1,34.119,24.09063194,5.688442413,0.36375,10700,1.400498491,1.400498491,0.16744186
71,FR38,France,Boigneville,Grassland,C +,48.325879,2.380743,,,,,,,1.64,0.85,2.49,18.5,57.4,21.1,19.58,,21.47,214700,0.206,2060,593.1,45.13,6.85,2.99,1.73,0.2,680.843,114.572,26.11278153,21.46845413,0.82875,17300,1.419112589,1.419112589,0.17551963
72,FR39,France,Boigneville,Grassland,C +,48.324773,2.382019,,,,,,,1.93,1.08,3.01,17.1,54.7,25.5,22.84,,16.23,162300,0.207,2070,590.38,43.34,7.29,2.75,1.59,0.4,626.774,107.241,19.46355267,16.2275018,0.9271875,15900,1.325572646,1.325572646,0.166666667
73,CH1,Switzerland,Zurich,Conventional,Adrian Haggemacher,47.16714,8.3826,2017,5,24,Winter wheat,20329,8515.5,3.27,1.46,4.73,31,39.5,25.6,27.96,,36.5,365000,0.319,3190,1050.02,22.6,7.54,3.9,2.26,1.1,1086.734,164.381,7.802705038,36.49904206,0.917473958,22600,1.17228227,1.157356048,0.301337154
74,CH2,Switzerland,Zurich,Grassland,Markus Schellenberg,47.29248,8.33517,2017,5,22,Grassland,,,2.68,0.94,3.62,30.35,25.5,40.5,27.82,,45.83,458300,0.31,3100,720.4,3.1,6.77,3.65,2.11,0.1,1144.891,158.574,0.455526243,45.83247848,0.974661458,21100,0.866681401,0.833562303,0.249737501
75,CH3,Switzerland,Zurich,Organic,Kurt Sch?ni,47.31341,9.4942,2017,5,26,Winter wheat,13897,6045,3.44,1.43,4.87,39.17,37.1,21.1,20.3,,31.24,312400,0.219,2190,858.32,23.42,6.54,2.63,1.53,0.1,702.672,102.328,13.31679683,31.24461536,0.775390625,15300,0.942216597,0.894944709,0.20831881
76,CH4,Switzerland,Zurich,Conventional,Marcel B¨¹hler,47.19244,8.38031,2017,5,24,Winter wheat,,,2.92,1.39,4.31,20.35,39.1,36.7,32.87,,46.46,464600,0.331,3310,1427.18,91.62,7.25,3.85,2.23,0.2,881.571,129.293,47.31601734,46.46199598,0.661536458,22300,0.915180712,0.915180712,0.338231435
77,CH5,Switzerland,Zurich,Grassland,Daniel Frei,47.29397,8.27921,2017,5,25,Grassland,,,1.7,1.09,2.79,26.33,31.3,39.1,24.56,,47.85,478500,0.267,2670,652.33,3.5,6.3,3.27,1.9,0.1,1125.234,158.122,0.301287435,47.85226725,0.869765625,19000,1.018020826,0.97698917,0.226542377
78,CH6,Switzerland,Zurich,Organic,Martin Greminger,47.31384,9.4944,2017,5,26,Winter wheat,18706,8377,4.75,2.35,7.1,33.98,41.8,21.3,20.66,,17.58,175800,0.255,2550,763.79,15.58,6.56,2.92,1.69,0.1,847.923,126.956,7.369298751,17.58211371,0.801223958,16900,1.08927155,1.08927155,0.193648087
79,CH7,Switzerland,Zurich,Conventional,Hans u. Mathias Frei,47.26514,8.29628,2017,5,25,Winter wheat,,,2.36,1.26,3.62,36.13,34.3,25.8,20.62,,31.26,312600,0.237,2370,1000.32,36.85,7.75,3.77,2.19,7.4,1048.853,183.031,11.20247935,31.25797359,1.092057292,21900,1.036548527,0.977523294,0.183800623
80,CH8,Switzerland,Zurich,Grassland,Kurt Sch?ni,47.31204,9.4821,2017,5,26,Grassland,,,3.72,2.04,5.76,29.58,31.7,35.9,21.31,,40.04,400400,0.269,2690,694.8,7.9,5.8,2.82,1.64,0.1,1004.51,136.57,2.252361328,40.03917367,0.776744792,16400,1.006061871,0.949845004,0.239464551
81,CH9,Switzerland,Zurich,Organic,Christian Mathys,47.19478,8.38354,2017,5,29,Winter wheat,17732,7184,3.31,1.73,5.04,29.24,36.2,29.7,30.91,,29.72,297200,0.358,3580,675.11,31.81,7.18,4.86,2.82,0.1,1100.185,157.634,9.806269303,29.72400113,1.180494792,28200,0.938461482,0.914687671,0.269303998
82,CH10,Switzerland,Zurich,Conventional,Daniel Frei,47.27454,8.27622,2017,5,25,Winter wheat,18927,10128,3.58,1.46,5.04,24.55,43.5,28.3,28.92,,19.63,196300,0.309,3090,1713.92,69.87,7.05,3.65,2.11,0.2,836.352,137.147,37.62364292,19.6349911,0.678932292,21100,1.038383437,1.038383437,0.234260067
83,CH11,Switzerland,Zurich,Grassland,Konrad Anderes,47.31619,9.3077,2017,5,26,Grassland,,,1.91,0.44,2.35,35.31,38,22.7,25.64,,36.48,364800,0.335,3350,876.31,7,7.39,3.99,2.31,13.4,1391.559,218.244,0.312240942,36.48446104,1.219973958,23100,0.926051724,0.875373408,0.271134148
84,CH12,Switzerland,Zurich,Organic,Heinz u. Barbara Kunz,47.18377,8.43757,2017,5,29,Winter wheat,11593,4856,3.67,1.42,5.09,13.97,34.6,45.2,49.63,,39.53,395300,0.479,4790,1154.24,62.68,6.96,6.23,3.61,0.3,1292.435,176.221,22.19435747,39.52767454,1.339869792,36100,0.955364682,0.955364682,0.351948052
85,CH13,Switzerland,Zurich,Conventional,Konrad Anderes,47.31641,9.307,2017,5,26,Winter wheat,14968,7843,3,2.38,5.38,39.94,40.7,16.1,20.69,,35.45,354500,0.284,2840,897.66,23.57,7.1,3.26,1.89,0.3,902.152,151.623,15.15514079,35.45211596,1.088916667,18900,1.046558249,1.007205183,0.213592233
86,CH14,Switzerland,Zurich,Grassland,Heinz u. Barbara Kunz,47.18375,8.43647,2017,5,29,Grassland,,,3.65,1.06,4.71,32.55,33.9,30.8,25.22,,22.16,221600,0.234,2340,659.15,6.4,7.15,2.75,1.6,2.8,907.57,134.691,1.131897493,22.15577104,1.196416667,16000,1.106197718,1.05357202,0.200500469
87,CH15,Switzerland,Zurich,Organic,Urs Knecht,47.5,8.75,2017,5,30,Winter wheat,15601,6713,2.5,1.72,4.22,25.5,40.3,31.4,24.73,,37.66,376600,0.241,2410,1033.33,42.68,6.78,2.8,1.62,0.2,743.494,105.524,18.21719274,37.65567867,0.676354167,16200,1.106568272,1.092624035,0.152671756
88,CH16,Switzerland,Zurich,Conventional,Brigitte Schwarz,47.32712,9.4002,2017,5,26,Winter wheat,,,2.78,1.46,4.24,27.82,43.6,25.9,17.15,,25.48,254800,0.192,1920,967.85,37.62,6.24,2.68,1.56,0.1,523.086,76.927,19.97825398,25.48368348,0.513125,15600,0.982135925,0.951069636,0.219798264
89,CH17,Switzerland,Zurich,Grassland,Christoph Frei-Sch?ller,47.5,8.75,2017,5,30,Grassland,,,1.99,0.62,2.61,28.07,35.4,28.7,34.81,,50.19,501900,0.334,3340,431.88,8,6.59,7.83,4.54,0.1,1048.636,150.437,0.99223373,50.18942811,1.2613125,45400,1.031341831,1.001846889,0.163043478
90,CH18,Switzerland,Zurich,Organic,Peter Ball,47.5,8.75,2017,5,30,Winter wheat,14454,6823,3.48,1.76,5.24,39.89,32.2,25.4,25.05,,25.4,254000,0.243,2430,1151.03,39.02,7.36,2.51,1.45,0.7,704.668,109.688,20.73890396,25.39734091,0.7850625,14500,0.949742915,0.90488439,0.152542373
91,CH19,Switzerland,Zurich,Conventional,Silvio F¨¹rst,47.18777,8.42846,2017,5,29,Winter wheat,14317,6071,2.66,1.61,4.27,22.76,32.9,39.7,41.79,,32.1,321000,0.378,3780,1390.46,35.11,7.05,4.64,2.69,0.7,1048.187,142.66,16.77839032,32.10172408,0.890895833,26900,0.84057291,0.835462414,0.281168205
92,CH20,Switzerland,Zurich,Grassland,Urs Knecht,47.5,8.75,2017,5,30,Grassland,,,3.27,1.21,4.48,34.88,34.6,26.7,26.49,,45.85,458500,0.294,2940,818.9,25.51,6.93,3.82,2.21,5.4,1266.813,187.748,6.099278106,45.85334304,1.542979167,22100,1.057491425,1.028048601,0.182795699
