Sample_No,Sample_ID,Country,Region,Treatment,Plot_ID,Lat,Long,Year,Month,Day,Crop in 2017,Aboveground_biomass,Grain_biomass,Phytometer shoots,Phytometer roots,Total,Sand,Silt,Clay,CEC,MWD,C_tot_%,C_tot_mg,N_tot_%,N_tot_mg,P_tot_mg,P_Olsen,pH,Humus_%,Organic_C_%,CaCO3_%,C_microbial,N_microbial,P_resin,P_microbial,basal_respiration,C_org_mg,mean BD (g/cm3),mean ad (g/cm3),moisture
175,GE61,Germany,Quillow,High,BABJ122,53.364539,13.721519,,,,,,,3.51,2.33,5.84,64.48,20.7,13.1,7.9,,6.83,68300,0.105,1050,459.26,48.6,6.93,1.72,0.99,0.3,270.48,41.5,30.94565332,6.830330748,0.419869792,9900,1.477813487,1.477813487,0.066046733
176,GE64,Germany,Quillow,High,BAGA162,53.336125,13.645535,,,,,,,2.57,1.43,4,59.23,21.3,18.1,9.29,,7.28,72800,0.084,840,575.59,42.61,7.41,1.37,0.8,0.4,294.83,47.38,25.92698961,7.280264649,0.378411458,8000,1.562154328,1.562154328,0.084009994
177,GE67,Germany,Quillow,High,BAQU072,53.323387,13.778924,,,,,,,3.34,1.21,4.55,61.26,20.6,13.4,9.95,,9.38,93800,0.103,1030,469.65,8.4,7.92,4.74,2.75,1.7,363.99,54.91,2.372432711,9.383706753,0.418932292,27500,1.484955582,1.484955582,0.073946958
178,GE70,Germany,Quillow,High,BAQU101,53.343158,13.79236,,,,,,,2.96,1.92,4.88,65.99,19.9,12.6,8.88,,10.02,100200,0.104,1040,527.21,14.02,7.94,1.51,0.87,4.5,387.45,67.59,3.463845604,10.01926376,0.479348958,8700,1.479459311,1.474578044,0.08542024
179,GE73,Germany,Quillow,Low,WHEATexp,53.372768,13.800448,,,,,,,2.8,2.38,5.18,64.81,23.2,10.8,6.91,,1.79,17900,0.076,760,421.92,31.79,7.39,1.19,0.69,0.2,246.69,37.49,27.09198691,1.792372304,0.287682292,6900,1.487813962,1.483833414,0.055125149
180,GE76,Germany,Quillow,Low,WHEATfarm,53.32177,13.793753,,,,,,,2.76,0.94,3.7,59.86,22.3,15.9,12.26,,11.23,112300,0.132,1320,579.73,44.78,7.42,1.94,1.13,0.2,405.1,52.29,30.72346519,11.22793264,0.378333333,11300,1.330787738,1.312134238,0.081261371
181,GE79,Germany,Quillow,Low,TRITIC,53.373274,13.801252,,,,,,,2.64,1.65,4.29,66.77,15.5,16.9,6.42,,5.56,55600,0.064,640,423.92,36.02,6.86,0.83,0.48,0.1,221.96,38.24,17.45553315,5.558753298,0.337786458,4800,1.124741664,1.124741664,0.052336449
182,GE82,Germany,Quillow,Low,RYE,53.372947,13.80056,,,,,,,2.66,1.97,4.63,67.38,14.3,17.5,5.59,,7.23,72300,0.063,630,382.92,23.42,6.91,0.82,0.48,0.1,174.97,31.66,14.32888182,7.228472715,0.2434375,4800,1.468145482,1.455789912,0.070655633
183,GE85,Germany,Quillow,Low,BARL,53.373097,13.800563,,,,,,,2.33,1.29,3.62,65.42,15.6,18.1,6.2,,,,0.051,510,401.79,31.7,6.75,0.88,0.51,0.1,147.87,25.81,16.09560414,2.86247259,0.189244792,5100,1.527482757,1.509385669,0.05193339
184,SW1,Sweden,S?by,High,SeSaH1,59.832631,17.698857,,,,,,,3.14,1.45,4.59,9.3,43.3,43.9,22.74,,8.91,89100,0.23,2300,1005.46,27,5.58,3.52,2.04,0.4,293.18,34.676,7.979473048,8.91076141,0.329791667,20400,1.162139317,1.162139317,0.183610857
185,SW2,Sweden,S?by,High,SeSaH2,59.832631,17.698857,,,,,,,3.6,2.65,6.25,7.7,41.6,46.9,25.95,,9.01,90100,0.254,2540,996.95,21,5.62,3.8,2.2,0.2,276.446,15.858,6.841324617,9.01332691,0.348819444,22000,1.195343807,1.195343807,0.167885347
186,SW3,Sweden,S?by,High,SeSaH3,59.832631,17.698857,,,,,,,2.09,1.67,3.76,27.2,38.5,31.6,18.64,,8.86,88600,0.168,1680,1237.18,74.78,6.34,2.67,1.55,0.3,243.255,37.24,38.88727966,8.862198012,0.369166667,15500,1.231721016,1.231721016,0.149690553
187,SW4,Sweden,S?by,High,SeSaH4,59.832631,17.698857,,,,,,,2.47,1.95,4.42,30.4,39.1,27.8,18.69,,5.89,58900,0.163,1630,1069.07,50.91,6.38,2.72,1.58,0.2,240.452,29.477,31.35739729,5.885096009,0.386354167,15800,1.268911889,1.268911889,0.122158137
188,SW5,Sweden,S?by,High,SeSaH5,59.832631,17.698857,,,,,,,3.94,2.43,6.37,23.4,42.7,31.1,22.82,,6.96,69600,0.183,1830,1219.78,95.63,6.68,2.8,1.62,0.2,272.421,30.868,52.49531065,6.96,0.3659375,16200,1.089817404,1.089817404,0.160012148
189,SW6,Sweden,S?by,High,SeSaH6,59.832631,17.698857,,,,,,,1.66,1.39,3.05,15.8,44.6,37.2,22.24,,6.14,61400,0.169,1690,1175.58,82.53,6.9,2.38,1.38,0.2,239.5,57.983,56.43301498,6.144363084,0.413854167,13800,1.221921172,1.221921172,0.149822332
190,SW7,Sweden,S?by,High,SeSaH7,59.832631,17.698857,,,,,,,2.66,1.87,4.53,19.5,46.8,31,23.79,,6.02,60200,0.178,1780,1143.15,67.99,6.62,2.72,1.58,0.2,290.606,24.74,44.33633302,6.020731527,0.388541667,15800,0.970854676,0.970854676,0.157394413
191,SW8,Sweden,S?by,High,SeSaH8,59.832631,17.698857,,,,,,,3.33,1.37,4.7,28.4,45.1,23.7,18.77,,6.78,67800,0.182,1820,1037.91,45.59,6.67,2.76,1.6,0.2,257.56,33.734,20.32133943,6.777625525,0.341354167,16000,1.277143424,1.277143424,0.160246012
192,SW9,Sweden,S?by,High,SeSaH9,59.832631,17.698857,,,,,,,5.47,1.65,7.12,27.3,43.8,26,23.47,,11.64,116400,0.187,1870,1078.09,42.03,6.67,2.9,1.68,0.1,277.841,43.322,16.2849068,11.64483981,0.503854167,16800,1.228933104,1.228933104,0.148525521
193,SW10,Sweden,S?by,High,SeSaH10,59.832631,17.698857,,,,,,,2.94,0.91,3.85,28.3,42,27.4,18.88,,2.63,26300,0.16,1600,1082.6,59.5,6.94,2.31,1.34,0.1,231.321,44.935,30.6459319,2.627932535,0.328888889,13400,1.289466577,1.289466577,0.130194762
194,SW11,Sweden,S?by,High,SeSaH11,59.832631,17.698857,,,,,,,2.84,1.91,4.75,29.2,44,24.2,19.01,,3.37,33700,0.164,1640,1088.07,75.16,6.85,2.61,1.51,0.1,268.328,36.165,45.78852045,3.371420167,0.356666667,15100,1.379755359,1.379755359,0.133840711
195,SW12,Sweden,S?by,High,SeSaH12,59.832631,17.698857,,,,,,,4.03,2.25,6.28,33.6,42.2,21.5,19.73,,5.21,52100,0.176,1760,1060.11,61.31,6.87,2.69,1.56,0.2,260.569,11.753,30.31573946,5.211045459,0.361041667,15600,1.255405719,1.255405719,0.114292151
196,SW13,Sweden,S?by,Low,SeSaL1,59.832631,17.698857,,,,,,,2.81,1.19,4,30.5,45.3,21.9,19.72,,8.88,88800,0.147,1470,1047.29,63.9,6.54,2.27,1.31,0.1,197.391,19.298,36.63630666,8.876213754,0.262291667,13100,1.388660224,1.388660224,0.201398358
197,SW14,Sweden,S?by,Grassland,SeSaG1,59.832631,17.698857,,,,,,,2.16,1.79,3.95,7.2,40.7,47.1,29.65,,22.08,220800,0.309,3090,979.94,21.3,5.82,5.03,2.92,0.2,544.016,74.897,8.430111466,22.08311619,0.816666667,29200,1.122018584,1.122018584,0.117432232
198,SW15,Sweden,Lanna,High,SeLaH1,58.347769,13.126463,,,,,,,2.22,0.75,2.97,10.1,38.3,48.8,22.58,,7.48,74800,0.165,1650,620.19,14.94,6.47,2.81,1.63,0.2,306.627,37.394,3.383075302,7.476114286,0.352847222,16300,,,0.11
199,SW16,Sweden,Lanna,High,SeLaH2,58.347769,13.126463,,,,,,,1.53,0.68,2.21,11.8,40.5,45.2,19.39,,7.04,70400,0.156,1560,546.93,14.17,6.1,2.5,1.45,0.2,276.302,36.362,1.000608974,7.03815562,0.3175,14500,,,0.06
200,SW17,Sweden,Lanna,High,SeLaH3,58.347769,13.126463,,,,,,,2.7,1.68,4.38,15.6,36.3,44.3,24.69,,18.12,181200,0.236,2360,686.24,13,5.9,3.77,2.19,0.2,461.731,54.595,3.390694841,18.11546392,0.57625,21900,,,0.15
201,SW18,Sweden,Lanna,High,SeLaH4,58.347769,13.126463,,,,,,,1.72,1.17,2.89,15.9,37.7,43.2,21.81,,18.22,182200,0.195,1950,721.35,24,5.96,3.21,1.86,0.2,394.615,53.622,7.862713508,18.22372881,0.50875,18600,,,0.12
202,SW19,Sweden,Lanna,High,SeLaH5,58.347769,13.126463,,,,,,,2.58,1.56,4.14,12.5,38.9,45.4,22.51,,13.01,130100,0.191,1910,767.24,35.11,6.18,3.17,1.84,0.1,382.824,51.749,10.55571175,13.00636364,0.506388889,18400,,,0.14
203,SW20,Sweden,Lanna,High,SeLaH6,58.347769,13.126463,,,,,,,2.39,1.35,3.74,12.2,39.9,45,20.54,,11.72,117200,0.166,1660,636.56,20.28,6.14,2.91,1.69,0.2,413.725,50.383,6.313450604,11.72251521,0.560208333,16900,,,0.05
204,SW21,Sweden,Lanna,High,SeLaH7,58.347769,13.126463,,,,,,,1.96,1.11,3.07,12.9,39.6,44.6,20.3,,14.8,148000,0.171,1710,721.31,33.02,6.16,2.93,1.7,0.1,347.152,47.498,7.049469493,14.83783784,0.5625,17000,,,0.14
205,SW22,Sweden,Lanna,High,SeLaH8,58.347769,13.126463,,,,,,,1.92,1.37,3.29,10.6,40.4,45.8,22.54,,12.73,127300,0.187,1870,696.07,27.08,5.95,3.22,1.87,0.1,377.498,46.617,4.233838631,12.72703088,0.378645833,18700,,,0.12
206,SW23,Sweden,Lanna,High,SeLaH9,58.347769,13.126463,,,,,,,1.79,1.09,2.88,11.6,38.5,46.5,23.69,,14.27,142700,0.193,1930,766.39,22.73,5.93,3.4,1.97,0.1,407.23,49.367,2.705125664,14.27478261,0.494930556,19700,,,0.14
207,SW24,Sweden,Lanna,High,SeLaH10,58.347769,13.126463,,,,,,,1.58,0.52,2.1,8.7,41.2,47.2,,,11.29,112900,0.165,1650,755.48,28.9,6.25,2.95,1.71,0.1,346.003,41.191,7.507425202,11.29333333,0.529166667,17100,,,0.12
208,SW25,Sweden,Lanna,High,SeLaH11,58.347769,13.126463,,,,,,,1.66,0.69,2.35,14.4,40.6,42.6,20.04,,13.39,133900,0.156,1560,744.52,36.6,6.42,2.37,1.38,0.1,387.171,47.712,12.20762002,13.39372197,0.41625,13800,,,0.14
209,SW26,Sweden,Lanna,Low,SeLaL1,58.347769,13.126463,,,,,,,2.46,1.26,3.72,9.7,41,46.2,24.73,,13.5,135000,0.182,1820,589.22,17.09,6.76,3.14,1.82,0.2,350.455,49.808,2.192090563,13.49561254,0.39625,18200,,,0.13
210,SW27,Sweden,Lanna,Grassland,SeLaG1,58.347769,13.126463,,,,,,,2.33,1.31,3.64,9,41.1,45.2,25.85,,23.79,237900,0.259,2590,425.87,20.22,5.89,4.69,2.72,0.2,762.648,98.219,7.147326028,23.78956159,1.23625,27200,,,0.2
211,SW28,Sweden,L?nnstorp,High,SeLoH1,55.66917,13.1027,,,,,,,3.13,1.84,4.97,56.9,18.8,21.9,16.98,,11.44,114400,0.17,1700,494.96,23.56,6.31,2.43,1.41,0.1,295.015,45.389,3.170421752,11.43636941,0.323888889,14100,1.472316294,1.462217963,0.138686131
212,SW29,Sweden,L?nnstorp,Low,SeLoL1,55.66917,13.1027,,,,,,,1.92,2.17,4.09,51.8,21.6,24.8,16.53,,6.52,65200,0.114,1140,491.76,22.07,6.38,1.79,1.04,0.2,170.299,25.65,5.307566045,6.517449408,0.179375,10400,1.553985631,1.521251219,0.137037037
213,SW30,Sweden,L?nnstorp,Grassland,SeLoG1,55.66917,13.1027,,,,,,,3.44,4.85,8.29,53,20.9,22.7,21.25,,20.4,204000,0.219,2190,564.08,32.02,5.63,3.38,1.96,0.2,413.89,82.331,9.449773959,20.39692887,0.490416667,19600,1.21713842,1.170757543,0.316239316
214,SW31,Sweden,R?b?cksdalen,High,SeRoH1,63.81083,20.24199,,,,,,,2.27,2.22,4.49,20.2,59,16.4,15.35,,5.79,57900,0.187,1870,1112.51,38.53,5.4,4.4,2.55,0.2,212.643,29.335,1.179876811,5.788372093,0.349270833,25500,1.059127453,1.059127453,0.31
215,SW32,Sweden,R?b?cksdalen,High,SeRoH2,63.81083,20.24199,,,,,,,2.84,2.14,4.98,31,55.3,9.7,14.26,,4.76,47600,0.168,1680,1151.38,46.87,5.78,3.99,2.31,0.2,241.478,38.256,5.940258836,4.756363636,0.378125,23100,1.149594117,1.149594117,0.29
216,SW33,Sweden,R?b?cksdalen,High,SeRoH3,63.81083,20.24199,,,,,,,2.48,2.26,4.74,31.3,55.3,9.4,14.6,,5.76,57600,0.164,1640,1238.01,47.88,5.91,4.01,2.32,0.2,185.252,26.151,4.173563069,5.76178273,0.2775,23200,1.15046145,1.15046145,0.28
217,SW34,Sweden,R?b?cksdalen,Low,SeRoL1,63.81083,20.24199,,,,,,,1.67,1.27,2.94,32.7,54.3,9.2,14.98,,8.04,80400,0.176,1760,1315.21,51.92,5.59,3.82,2.21,0.1,230.156,31.18,2.015247606,8.042236025,0.406944444,22100,1.092331787,1.092331787,0.3
